datetime,VBINX_r,SPY_r,IWM_r,QQQ_r,GLD_r,TLT_r,SHY_r,Backtest_r,SPY_x,IWM_x,QQQ_x,GLD_x,TLT_x,SHY_x,Backtest_x,SPY_l,IWM_l,QQQ_l,GLD_l,TLT_l
2001-01-20 16:00:00,0,-0.008574599,-0.004014797,-0.011472812,0.009924433,0.004525431,0.001228477,-0.001922469,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-23 09:30:00,-0.00315013,0.002654311,0.002961644,0.001888958,0,0.000879076,-0.00012195,0.001676798,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-23 16:00:00,0,-0.004611777,-0.010580709,-0.015894397,0.000701872,0.003403294,-0.00049087,-0.005396344,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-24 09:30:00,0.001053387,0.003088898,0.004393589,0.006570143,-0.005611433,-0.000436663,-0.000246459,0.001600907,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-24 16:00:00,0,-0.000256668,-0.001815797,-0.001631792,-0.006818646,-0.008975482,-0.000122829,-0.003899677,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-25 09:30:00,0.003682445,0.003764562,0.003969158,0.006809997,0.008285937,0.003423176,-0.000489843,0.005250566,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-25 16:00:00,0,-0.000767107,0.009306589,0.005140774,0.002347946,-0.001540991,0.000122905,0.002897442,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-26 09:30:00,0.000524435,-0.000341077,-0.001387519,-0.001615515,-0.004919162,-0.002093921,-0.000246069,-0.002071439,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-26 16:00:00,0,0.002047939,0.004249093,0.000269561,0.003295645,0.00022099,-1.11E-16,0.002016646,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-27 09:30:00,-0.001047943,0.000510926,0.0032547,0.003234872,0.002111685,0.007509947,0.00036921,0.003324426,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-27 16:00:00,0,-0.000510665,-0.00405515,-0.008060263,-0.000468274,0.002521333,0.000122875,-0.002114604,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-30 09:30:00,0.006292673,0.004428455,0.005863105,0.011917906,-0.011243851,-0.001311256,-0.000123913,0.001930872,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-30 16:00:00,0,0.001780475,0.005829032,0.001070691,0.000236958,0.004160703,0,0.002615572,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-31 09:30:00,0.003647303,0.000761303,8.08E-05,0.002406795,-0.003079133,0.000819732,0.000134551,0.000197899,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-31 16:00:00,0,0.005581429,0.005553336,0.00080016,0.000237539,-0.00240596,0.000123117,0.001568932,0.255715568,0.158828473,0.160617033,0.201263561,0.381004371,0,1.157429008,1,1,1,1,1
2001-02-01 09:30:00,0.0025964,0.001261311,0.001441055,0.0031983,0.002850428,-0.000219393,-0.000245114,0.001754634,0.287688675,0.178023122,0.182973548,0.2264376,0.434928437,0,1.310051381,1,1,1,1,1
2001-02-01 16:00:00,0,0.001763808,0.006154076,-0.001593969,-0.001421151,0.002521963,-0.000123132,0.002090472,0.287753159,0.178143024,0.182825188,0.225795705,0.435744888,0,1.310261965,1,1,1,1,1
2001-02-02 09:30:00,-0.001553597,-0.001760379,-0.002621801,-0.005322475,-0.014231475,-0.004046665,-0.000861916,-0.006928502,0.299186377,0.180213689,0.188497037,0.217056103,0.453963158,0,1.338916363,1,1,1,1,1
2001-02-02 16:00:00,0,-0.000839904,-0.002867171,-0.006152996,0.002887368,0.003514156,0.000246408,0.000251051,0.2990008,0.180643343,0.187299876,0.206981189,0.448171142,0,1.32209635,1,1,1,1,1
2001-02-03 09:30:00,0.008298545,0.000336225,8.00E-05,1.59E-07,-0.002159309,0.011928998,0.000984678,0.005090082,0.304458525,0.186131684,0.191546542,0.211640845,0.455176188,0,1.348953784,1,1,1,1,1
2001-02-03 16:00:00,0,0.01033616,0.012538919,0.016150686,-0.002885285,0.001946588,2.22E-16,0.008835652,0.305018033,0.186635657,0.191847058,0.21375072,0.442311428,0,1.339562895,1,1,1,1,1
2001-02-06 09:30:00,-0.000514279,0.000166103,0.002129575,0.001324224,0.001929057,0.000970882,-0.000121915,0.001519199,0.293939272,0.182527758,0.184050291,0.213638471,0.438594916,0,1.312750708,1,1,1,1,1
2001-02-06 16:00:00,0,-0.001496881,-0.002361306,-0.00343918,-0.006738845,0.006469679,-0.000123031,-0.000112542,0.295379,0.183158023,0.185020483,0.21525952,0.44036445,0,1.319181476,1,1,1,1,1
2001-02-07 09:30:00,0.001029088,0.000832724,-0.000315437,-0.000265381,-0.001938478,0.000321616,-0.000246413,-0.000139048,0.295523553,0.183787909,0.185941437,0.216304646,0.43991395,0,1.321471494,1,1,1,1,1
2001-02-07 16:00:00,0,0.00033287,0.002762197,0.002124323,0.001699417,0.005355039,-0.000123162,0.003729682,0.295235553,0.183485991,0.185683337,0.215231429,0.441521225,0,1.321157535,1,1,1,1,1
2001-02-08 09:30:00,-0.005141407,0.00174717,0.003305163,0.000795209,-0.005574382,-0.004581475,0.000491699,-0.001933057,0.296101192,0.183352861,0.185807958,0.214330316,0.438593332,0,1.31818566,1,1,1,1,1
2001-02-08 16:00:00,0,-0.009217738,-0.024552917,-0.017474159,0.006824324,0.007277408,0.001354013,-0.005809442,0.295715353,0.183066947,0.185250875,0.213427177,0.438592945,0,1.316053296,1,1,1,1,1
2001-02-09 09:30:00,0.001034086,0.002933623,0.003136604,0.00404167,0.005325538,-0.00669333,-0.000123128,0.000277236,0.29356857,0.174893234,0.18070779,0.212697519,0.447556591,0,1.309423704,1,1,1,1,1
2001-02-09 16:00:00,-1.11E-16,0.000668511,-0.001362819,-0.00295212,0.0052974,-0.006845652,-0.000614642,-0.002540674,0.29590442,0.176213713,0.182110722,0.214287277,0.452242449,0,1.320758581,1,1,1,1,1
2001-02-10 09:30:00,0.004129621,-0.000333933,0.000642378,-0.003230253,0.003353269,-0.004200173,0.000123104,-0.001723855,0.296830551,0.175730289,0.182344391,0.217717924,0.447283338,0,1.319906493,1,1,1,1,1
2001-02-10 16:00:00,0,0.008939014,0.01564377,0.018093492,0.00453576,0.003569133,-0.000615043,0.011294462,0.297375583,0.175582645,0.182574021,0.220006384,0.444966599,0,1.320505232,1,1,1,1,1
2001-02-13 09:30:00,0.00102877,-0.000662542,-0.001579724,3.80E-07,0.008079752,0.00118535,-5.48E-07,0.001792698,0.294781059,0.171334695,0.178835767,0.216063105,0.43266559,0,1.293680214,1,1,1,1,1
2001-02-13 16:00:00,2.22E-16,-8.29E-05,0.000711994,0.004509231,0.003064616,0.001937567,-0.00049232,0.002400014,0.295158156,0.171407807,0.178864529,0.213481789,0.434386286,0,1.293298566,1,1,1,1,1
2001-02-14 09:30:00,0.001540682,0.000994302,0.00126493,0.000791547,-0.003525194,-0.005156805,-0.000244687,-0.0023449,0.294847011,0.171455811,0.177349484,0.215003346,0.433872983,0,1.292528635,1,1,1,1,1
2001-02-14 16:00:00,0,0.002731738,-0.00039482,0.00580467,0.004245283,0.000108024,0.000369491,0.002737982,0.293058128,0.170651538,0.179968337,0.214752915,0.448580303,0,1.307011222,1,1,1,1,1
