price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,lengthWidth,culet
786,0.4,1,6,3,0,0,8,61.8,58,1.34,0
787,0.37,1,5,2,1,0,8,61.1,55,1.44,0
788,0.4,1,5,3,2,1,8,63.4,61,1.35,0
788,0.4,1,3,3,2,1,8,59.6,60,1.39,0
788,0.41,1,5,2,1,0,8,60.2,59,1.35,0
788,0.6,1,0,3,1,1,7,58.7,60,1.36,0
789,0.4,1,4,3,1,0,8,63.5,60,1.36,0
789,0.4,1,3,4,2,1,8,63.1,59,1.35,0
793,0.4,1,4,3,1,1,8,62.5,58,1.4,0
793,0.5,1,0,1,2,1,8,62.5,58,1.36,0
796,0.4,1,4,2,2,0,8,60.4,57,1.38,0
796,0.4,1,4,2,2,0,8,61.3,62,1.34,0
796,0.5,1,0,2,2,1,8,63.4,57,1.4,0
798,0.5,1,6,0,1,0,8,62.4,60,1.38,0
799,0.44,1,1,3,2,0,8,62.7,55,1.38,0
801,0.4,1,4,3,2,1,8,61.8,57,1.34,0
803,0.5,1,3,0,1,0,8,60,56,1.38,0
803,0.5,1,0,2,2,1,8,63.3,61,1.36,0
804,0.4,1,4,2,2,1,8,62,59,1.34,0
805,0.4,1,5,2,2,1,8,62.1,61,1.37,0
805,0.5,1,0,3,2,1,8,63.2,60,1.33,0
806,0.51,1,1,1,1,1,8,64,57,1.33,0
807,0.4,1,3,2,2,1,8,62.7,59,1.36,0
807,0.52,1,3,0,1,1,8,57.6,57,1.39,0
809,0.4,1,5,2,2,1,8,61.5,58,1.35,0
810,0.4,1,5,3,2,1,8,62.9,60,1.39,0
811,0.54,1,1,0,2,1,8,64.2,58,1.43,0
814,0.5,1,5,0,1,0,8,62.4,57,1.35,0
815,0.43,1,5,4,2,0,5,61.3,56,1.32,0
815,0.5,1,5,0,1,0,8,61.2,58,1.34,0
816,0.37,1,6,2,0,0,8,60.1,58,1.27,0
817,0.41,1,3,6,2,1,7,63,55,1.31,0
819,0.4,1,4,2,1,1,8,60,62,1.39,0
819,0.41,1,6,3,1,0,8,60.3,60,1.33,0
822,0.5,1,2,1,2,0,7,61.4,57,1.43,0
822,0.5,1,2,1,1,0,7,59.3,55,1.45,0
822,0.6,1,0,0,2,0,7,61,58,1.37,0
823,0.41,1,5,3,2,1,8,59.9,57,1.37,0
824,0.37,1,6,5,2,0,8,61.2,60,1.35,0
824,0.37,1,6,5,2,0,8,62.3,61,1.39,0
825,0.4,1,6,3,1,0,8,61.9,60,1.39,0
825,0.4,1,5,4,0,0,7,61.1,59,1.34,1
825,0.43,1,5,2,2,0,8,62.6,57,1.38,0
826,0.5,1,2,0,2,1,7,60.2,57,1.4,0
827,0.41,1,3,3,1,0,7,60.3,59,1.35,0
827,0.47,1,4,2,2,0,8,60.9,58,1.4,0
828,0.5,1,2,0,1,0,8,60.4,59,1.43,0
828,0.5,1,1,1,2,1,8,57.7,60,1.36,0
828,0.5,1,1,1,2,1,8,62.6,56,1.45,0
828,0.5,1,1,1,2,1,8,63.7,60,1.37,0
