price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,length_width,culet,delivery
725,0.50,VeryGood,J,SI1,VeryGood,Good,Medium,63.3,60.0,1.34,None,Dec7
726,0.38,Good,E,SI2,VeryGood,Good,Faint,54.4,59.0,1.46,None,Dec4
727,0.50,VeryGood,I,VS2,Excellent,Good,Medium,59.4,64.0,1.44,None,Dec7
727,0.51,VeryGood,J,VS1,Excellent,VeryGood,Faint,57.6,59.0,1.34,None,Dec5
729,0.33,VeryGood,D,VVS1,Excellent,VeryGood,Faint,60.6,63.0,1.38,None,Dec7
729,0.40,Good,E,VVS2,VeryGood,Good,Faint,65.4,63.0,1.37,None,Dec7
729,0.46,VeryGood,D,SI1,Excellent,Good,Faint,59.2,60.0,1.33,None,Dec7
730,0.40,Good,G,VVS1,VeryGood,VeryGood,Strong,66.5,58.0,1.39,None,Dec7
731,0.50,VeryGood,J,VS2,VeryGood,VeryGood,Faint,61.6,60.0,1.32,None,Dec7
733,0.40,VeryGood,F,VS1,Good,Good,None,59.2,61.0,1.37,None,Dec7
733,0.55,VeryGood,G,SI2,Excellent,Good,Medium,60.3,63.0,1.43,None,Dec7
734,0.40,VeryGood,F,VS2,VeryGood,Good,None,59.6,58.0,1.43,VerySmall,Dec7
734,0.40,VeryGood,F,VS2,VeryGood,Good,None,61.6,60.0,1.40,None,Dec7
735,0.33,VeryGood,D,VVS1,VeryGood,Good,None,63.9,60.0,1.41,None,Dec4
737,0.33,VeryGood,D,VVS1,VeryGood,Good,None,59.9,60.0,1.40,None,Dec7
739,0.40,VeryGood,F,VS2,VeryGood,Good,None,62.1,60.0,1.34,None,Dec7
740,0.40,VeryGood,G,VVS2,Excellent,Good,None,62.5,58.0,1.37,None,Dec7
742,0.55,VeryGood,J,SI2,Excellent,VeryGood,Faint,63.4,58.0,1.36,None,Dec7
743,0.34,VeryGood,D,VS1,VeryGood,VeryGood,None,60.8,60.0,1.39,None,Dec7
744,0.31,VeryGood,D,VVS1,VeryGood,Excellent,None,59.2,58.0,1.42,None,Dec7
749,0.46,VeryGood,D,SI1,Excellent,VeryGood,Strong,60.8,62.0,1.35,None,Dec7
