round,carat,cut,color,clarity,depth,table,length-width,date,price
0,2.30,0,3,2,72.9,60.0,1.22,28,22491
0,2.30,2,2,4,67.9,62.0,1.07,19,26008
0,2.30,2,2,4,67.9,62.0,1.07,22,25308
0,2.30,2,2,5,66.8,60.0,1.11,19,27749
0,2.30,2,2,5,66.8,60.0,1.11,22,27068
0,2.30,2,3,3,67.2,63.0,1.00,18,29087
0,2.30,2,3,3,67.2,63.0,1.00,23,29087
0,2.30,2,3,3,67.7,62.0,1.09,19,29235
0,2.30,2,3,3,67.7,62.0,1.09,22,28572
0,2.30,2,4,2,67.2,62.0,1.12,19,26726
0,2.30,2,4,2,67.2,62.0,1.12,22,27639
0,2.31,2,1,2,68.6,63.0,1.00,22,17450
0,2.31,2,3,4,64.9,62.0,1.07,22,29435
0,2.33,2,2,3,67.6,62.0,1.01,19,25735
0,2.33,2,2,3,67.6,62.0,1.01,22,25008
0,2.34,0,3,2,66.9,68.0,1.12,19,25705
0,2.34,0,3,2,66.9,68.0,1.12,22,25631
0,2.35,2,3,4,67.9,63.0,1.06,22,29583
0,2.36,0,3,0,69.3,68.0,1.05,22,17163
0,2.39,1,2,5,66.0,65.0,1.11,24,26713
0,2.39,1,2,5,66.0,65.0,1.11,28,26056
0,2.39,2,1,6,67.7,63.0,1.02,19,21998
0,2.39,2,1,6,67.7,63.0,1.02,22,21835
0,2.40,1,0,1,69.8,66.0,1.00,22,14118
0,2.50,2,0,3,63.3,58.0,1.20,28,15404
0,2.50,2,3,1,65.3,59.0,1.16,18,29195
0,2.50,2,3,1,65.3,59.0,1.16,23,28333
0,2.51,0,5,2,72.4,63.0,1.11,23,25636
0,2.51,2,2,1,68.7,54.0,1.16,19,24605
0,2.51,2,2,1,68.7,54.0,1.16,22,24665
0,2.51,2,3,0,60.0,60.0,1.09,19,22886
0,2.52,1,3,1,69.3,63.0,1.13,22,29231
0,2.52,2,3,1,67.7,55.0,1.01,19,28304
0,2.56,2,2,3,64.4,63.0,1.15,22,29302
0,2.66,1,4,0,69.6,54.0,1.32,22,20210
0,2.70,2,0,1,68.2,61.0,1.10,28,15146
0,2.71,1,1,2,70.3,61.0,1.01,19,24457
0,2.91,2,1,1,68.9,57.0,1.09,22,25226
0,3.00,2,0,4,67.8,61.0,1.10,22,29048
0,3.00,2,0,4,67.8,61.0,1.10,19,29530
0,3.01,0,1,1,72.9,65.0,1.07,18,26955
0,3.01,0,1,1,72.9,65.0,1.07,22,26418
0,3.01,1,0,1,67.5,66.0,1.03,22,23268
0,3.01,1,1,1,70.0,66.0,1.09,18,29263
0,3.01,1,1,1,70.0,66.0,1.09,22,28681
0,3.01,1,1,3,70.4,63.0,1.19,19,29815
0,3.01,2,0,2,66.5,58.0,1.01,23,24260
0,3.01,2,0,2,66.5,58.0,1.01,19,24755
0,3.02,2,1,0,68.8,58.0,1.01,18,23778
0,3.02,2,1,0,68.8,58.0,1.01,22,23186
0,3.03,2,0,3,66.0,61.0,1.04,19,27747
0,3.05,2,0,3,65.9,59.0,1.18,22,23233
0,3.06,0,0,6,72.0,55.0,1.05,22,26283
0,3.48,1,1,0,69.4,65.0,1.05,22,27125
0,2.00,0,2,3,64.8,76.0,1.24,28,17901
0,2.00,0,2,3,76.5,61.0,1.40,22,15036
0,2.00,0,5,2,60.0,76.0,1.33,19,21947
0,2.00,0,5,2,60.0,76.0,1.33,22,21481
0,2.00,1,1,4,70.8,65.0,1.36,27,15196
0,2.00,1,1,4,72.2,73.0,1.21,22,13224
0,2.00,1,1,4,73.5,62.0,1.34,28,11419
0,2.00,1,2,2,73.3,66.0,1.09,22,14423
0,2.00,1,2,4,72.3,64.0,1.33,28,13111
0,2.00,1,3,0,70.5,61.0,1.32,22,13670
0,2.00,1,3,1,75.0,66.0,1.09,22,14039
0,2.00,1,4,1,70.6,64.0,1.44,23,14529
0,2.00,1,4,2,71.2,65.0,1.19,19,20397
0,2.00,1,4,2,71.2,65.0,1.19,22,19929
0,2.00,1,4,2,73.2,64.0,1.24,22,17949
0,2.00,1,4,3,67.3,73.0,1.30,27,17018
0,2.00,1,5,1,71.9,58.0,1.12,22,15313
0,2.00,1,5,1,74.6,68.0,1.30,22,17177
0,2.00,1,5,2,57.9,73.0,1.15,19,21364
0,2.00,1,5,2,57.9,73.0,1.15,22,20908
0,2.00,1,5,3,70.0,68.0,1.24,19,22186
0,2.00,1,5,3,70.0,68.0,1.24,22,21788
0,2.00,1,5,3,70.7,58.0,1.05,22,16170
0,2.00,1,6,3,71.1,60.0,1.05,22,22847
0,2.00,1,6,3,71.1,60.0,1.05,23,23216
0,2.00,1,6,3,72.8,70.0,1.42,19,26822
0,2.00,1,6,3,72.8,70.0,1.42,23,26397
0,2.00,2,0,3,63.6,70.0,1.34,22,10811
0,2.00,2,1,2,64.2,71.0,1.08,22,12337
0,2.00,2,1,2,67.5,66.0,1.26,22,12669
0,2.00,2,1,3,66.8,64.0,1.20,27,13511
0,2.00,2,1,4,69.2,66.0,1.22,22,16014
0,2.00,2,2,2,63.6,72.0,1.08,22,15811
0,2.00,2,3,3,66.8,69.0,1.14,19,21152
0,2.00,2,3,3,66.8,69.0,1.14,22,20669
0,2.00,2,3,4,67.1,72.0,1.26,23,22053
0,2.00,2,3,4,67.1,72.0,1.26,28,22053
0,2.00,2,3,5,68.2,65.0,1.42,18,23551
0,2.00,2,3,5,68.2,65.0,1.42,22,23551
0,2.00,2,3,6,63.8,67.0,1.26,19,25511
0,2.00,2,3,6,63.8,67.0,1.26,22,25081
0,2.00,2,4,0,65.7,68.0,1.31,22,12616
0,2.00,2,4,4,66.7,64.0,1.27,20,25764
0,2.00,2,4,4,66.7,64.0,1.27,27,25305
0,2.00,2,5,3,64.2,59.0,1.23,19,21015
0,2.00,2,5,3,64.2,59.0,1.23,22,18386
